patient_id,ho_ten,cccd,ngay_sinh,so_dien_thoai,email,dia_chi,benh,ket_qua_xet_nghiem,bac_si_phu_trach,ngay_kham
bdd640fb-0667-4ad1-9c80-317fa3b1799d,Quý cô Hà Hoàng,591688153949,08/05/1954,0758821228,tranjane@example.net,"67 Hoàng Tổ, JaneThị xã, 626577",Tim mạch,7.84,Bảo Phạm,31/01/2026
562b0f79-c374-49ee-b50b-ea63371ecd7b,Quý cô Dương Phạm,914758553057,09/07/1948,0816128215,john17@example.org,"57 Nguyễn Hẻm, Thị xã JohnPhường, 787135",Tim mạch,8.59,Anh Phúc Hoàng,20/01/2026
a2bc372f-7412-4293-8729-4739614ff3d7,Anh Nam Mai,190095981975,15/11/1963,0584352094,qvu@example.org,"15 John Khu, JaneThị xã, 671582",Tim mạch,11.64,Quý cô Bảo Phạm,03/03/2026
654821d0-7fcd-4eb1-a7ca-d415366eb16f,Anh Đức Nguyễn,687888718854,03/12/1968,0801703359,rle@example.org,"6 John Khu, Thành phố JohnThành phố, 817559",Khỏe mạnh,5.54,Cô Ánh Hoàng,18/02/2026
f143262f-dc5c-4eed-8da0-365bf89897b9,Khoa Đức Vũ,744489644591,03/09/1971,0712814244,hoangjohn@example.org,"548 Bùi Tổ, JohnThị xã, 289808",Khỏe mạnh,7.14,Chị Hà Trần,05/04/2026
5cec4eb5-edd9-4831-9ca3-5cfb04fc6d82,Kim Trần,935563468715,21/02/1968,0344306843,rdang@example.org,"2 Phạm Làng, Thành phố JohnQuận, 735897",Tiểu đường,10.32,Phương Trần,27/03/2026
1efa2197-7394-488f-847f-d9b4e64d1bcb,Lâm Phú Mai,074059831255,22/03/1938,0565177748,john75@example.org,"599 Hoàng Khu, Quận JaneQuận, 993507",Huyết áp cao,11.4,Phúc Thị Bùi,06/02/2026
6e595ed3-a8b3-47fa-98d0-752b1825bc54,Trọng Hữu Trần,680349816698,24/09/1942,0770189203,john08@example.com,"3 Dương Số, JaneThành phố, 509388",Tiểu đường,4.32,Ông Tú Trần,03/01/2026
c0e9ab30-ed26-42e9-97e0-11b7f8102383,Dương Bùi,577154070447,14/11/2000,0857863041,qnguyen@example.net,"84 Dương Tổ, JaneQuận, 749002",Huyết áp cao,9.97,Kim Dương,12/01/2026
80bacd64-7a0e-4fea-958c-a9ba0cd620c2,Khoa Quang Đặng,516832506875,25/08/1960,0745265670,nguyenjane@example.com,"3 Phạm Dãy, JaneThành phố, 521955",Tiểu đường,11.28,Chị Vi Hoàng,26/01/2026
750cab75-4ccc-4bc2-a53f-8a28abf3e3fc,Khoa Mai,663252538103,19/12/1948,0388737861,xmai@example.com,"318 Hoàng Số, JohnXã, 449908",Tim mạch,6.96,Hương Dương,31/01/2026
35ebd32d-9ad6-40ab-8821-2ddb45b89cd9,Trung Bảo Hoàng,938549468580,06/11/2001,0383510303,etran@example.com,"791 Jane Tổ, JohnHuyện, 483839",Khỏe mạnh,7.71,Cô Thảo Dương,25/01/2026
e623a689-5d59-4d2a-8eea-04e70ab54bde,Hà Bùi,959391550134,13/12/1963,0831334754,snguyen@example.org,"71 Dương Dãy, Thị xã JaneQuận, 149274",Khỏe mạnh,6.06,An Trí Phạm,31/01/2026
61ee411a-1bac-47a7-b386-f7a4c991603f,Anh Mai Bùi,812494966021,19/08/1965,0961297795,jane11@example.org,"443 John Dãy, JohnHuyện, 427833",Tim mạch,6.29,Bà Kim Mai,23/01/2026
2db69edb-42de-4fcc-b86c-2ca2e08596db,Ông Huy Mai,168043452084,03/07/1994,0878481404,ntran@example.org,"30 Phạm Số, JohnXã, 756478",Tim mạch,9.9,Quý ông Châu Hoàng,02/03/2026
6703b636-5380-4904-a88c-7015aab97e49,Chi Mai,897092551974,20/06/1961,0557456232,ctran@example.org,"2 John Dãy, Quận JohnXã, 238064",Tim mạch,10.83,Hoàng Hoàng,02/02/2026
83f4a9a9-48a6-49d0-95b5-2908a8aa7158,Hạnh Vũ,279143481231,06/12/1965,0373043272,rpham@example.net,"900 Mai Hẻm, Thành phố JaneThị xã, 223241",Khỏe mạnh,10.31,Thành Phạm,12/02/2026
b227462c-f53d-4330-8dda-24ba2d06e8cf,Quý cô Hồng Mai,866527721341,16/11/1951,0333988577,vujohn@example.org,"586 Nguyễn Tổ, Quận JaneHuyện, 106618",Tiểu đường,6.7,Trung Tấn Bùi,05/04/2026
709b7d97-464c-44af-bd3f-3799a07295e9,Quý cô Kim Vũ,148014881124,10/04/1967,0535193999,janele@example.com,"7 John Làng, Thị xã JaneQuận, 142666",Tiểu đường,10.87,Khoa Trần,04/01/2026
9360715f-c3fe-4183-a172-b725db52ca58,Tùng Mai Nguyễn,274045293790,01/01/1976,0598164404,john04@example.net,"4 John Tổ, Quận JaneThị xã, 148026",Huyết áp cao,8.21,Chị Dương Trần,25/01/2026
06e745f9-88bc-439c-9f4c-3b79fb10987f,Quý cô Hạnh Trần,057323487452,10/09/1993,0845480065,lejohn@example.net,"7 John Làng, Thị xã JohnThành phố, 782700",Tiểu đường,4.18,Ông Anh Lê,07/05/2026
a6d964a3-f510-4b53-87fe-e39f1190f938,Hoàng Bảo Mai,034484204284,05/01/1969,0599719296,janepham@example.org,"576 Vũ Làng, Huyện JaneXã, 239150",Khỏe mạnh,5.94,Thành Lê,21/01/2026
