patient_id,ho_ten,cccd,ngay_sinh,so_dien_thoai,email,dia_chi,benh,ket_qua_xet_nghiem,bac_si_phu_trach,ngay_kham
bdd640fb-0667-4ad1-9c80-317fa3b1799d,Quang Phạm,913528439834,08/05/1954,0582396283,maijohn@example.net,"338 John Số
Thị xã JaneThành phố, 895667",Tim mạch,7.84,Quý cô Thành Vũ,31/01/2026
562b0f79-c374-49ee-b50b-ea63371ecd7b,Hà Bùi,302519492667,09/07/1948,0918483881,jane94@example.org,"18 Hoàng Tổ
Thành phố JohnPhường, 338968",Tim mạch,8.59,Vũ Phạm,20/01/2026
a2bc372f-7412-4293-8729-4739614ff3d7,Phúc Phú Đặng,178095843340,15/11/1963,0354378905,john92@example.net,"64 Jane Đường
Thành phố JaneThị xã, 380746",Tim mạch,11.64,Lâm Hoàng,03/03/2026
654821d0-7fcd-4eb1-a7ca-d415366eb16f,Anh Anh Lê,442303420916,03/12/1968,0942499284,jane96@example.com,"7 John Ngõ
Quận JaneXã, 166613",Khỏe mạnh,5.54,Kim Mai Mai,18/02/2026
f143262f-dc5c-4eed-8da0-365bf89897b9,Dương Trần,635788822178,03/09/1971,0942815023,john46@example.org,"2 Jane Làng
Huyện JohnXã, 916449",Khỏe mạnh,7.14,Duyên Đặng,05/04/2026
5cec4eb5-edd9-4831-9ca3-5cfb04fc6d82,Quang Nguyễn,973881794136,21/02/1968,0860707174,tranjane@example.org,"Quận JaneXã
89 Phạm Làng, 847581",Tiểu đường,10.32,Thành Đặng,27/03/2026
1efa2197-7394-488f-847f-d9b4e64d1bcb,Chị Hương Đặng,016101369099,22/03/1938,0562245391,johnnguyen@example.org,"105 John Khu
JohnXã, 238739",Huyết áp cao,11.4,Anh Châu Bùi,06/02/2026
6e595ed3-a8b3-47fa-98d0-752b1825bc54,Huy Bảo Dương,011395583741,24/09/1942,0580633928,nguyenjane@example.net,"338 Lê Số
Huyện JaneQuận, 179046",Tiểu đường,4.32,Ông Hưng Mai,03/01/2026
c0e9ab30-ed26-42e9-97e0-11b7f8102383,Chị Hồng Dương,703102492434,14/11/2000,0893336055,janenguyen@example.org,"74 Mai Dãy
Quận JaneQuận, 161324",Huyết áp cao,9.97,Yến Đặng,12/01/2026
80bacd64-7a0e-4fea-958c-a9ba0cd620c2,Cô Phương Trần,740323268926,25/08/1960,0886109762,hoangjohn@example.net,"939 John Số
JaneQuận, 802258",Tiểu đường,11.28,Quang Đức Bùi,26/01/2026
750cab75-4ccc-4bc2-a53f-8a28abf3e3fc,Vũ Văn Dương,453044908171,19/12/1948,0772495832,maijohn@example.net,"354 Jane Khu
Huyện JohnQuận, 377312",Tim mạch,6.96,Hà Mai,31/01/2026
35ebd32d-9ad6-40ab-8821-2ddb45b89cd9,Trung Đức Mai,545976579444,06/11/2001,0950728255,john16@example.com,"427 Mai Đường
Thành phố JohnXã, 137778",Khỏe mạnh,7.71,Nhiên Trí Bùi,25/01/2026
e623a689-5d59-4d2a-8eea-04e70ab54bde,Xuân Đặng,302000108931,13/12/1963,0860561615,johndang@example.net,"2 John Hẻm
JohnQuận, 872343",Khỏe mạnh,6.06,Huy Hải Vũ,31/01/2026
61ee411a-1bac-47a7-b386-f7a4c991603f,Ánh Dương,572367458352,19/08/1965,0891897008,janedang@example.com,"036 Vũ Ngõ
JanePhường, 634150",Tim mạch,6.29,Hải Tấn Nguyễn,23/01/2026
2db69edb-42de-4fcc-b86c-2ca2e08596db,Hưng Trần,233823428926,03/07/1994,0522226648,jane69@example.net,"06 John Tổ
JohnPhường, 446239",Tim mạch,9.9,Tú Thế Mai,02/03/2026
6703b636-5380-4904-a88c-7015aab97e49,Tùng Lê,109584941950,20/06/1961,0566953159,rbui@example.net,"80 Vũ Làng
JaneThị xã, 563246",Tim mạch,10.83,Anh Minh Dương,02/02/2026
